x,y,HeightError,PredictedHeight,TrueHeight
245422.06,700570.58,0.08659819455393229,11.770095664978028,12.886
244424.03,700686.91,0.08526395389916552,8.26555491256714,9.036
241180.86,700638.48,0.01999208503081433,35.036262968063355,35.751
243733.97,703657.88,0.20096189871321626,11.384694867134094,14.248
244001.05,700329.58,0.024567249047996693,27.078013166427613,27.76
249816.26,699005.06,0.31493968166680714,14.756199256896974,21.54
244900.07,695261.78,0.005876799198405872,8.73635468864441,8.788
243118.16,708592.27,0.017284313050500114,14.18746637248993,14.437
243004.39,697755.34,0.10823964285468429,7.400719203948975,8.299
248705.5,697494.5,0.1139588100919998,9.473552402496338,10.692
245357.32,699672.59,0.019965827726353854,12.072060934066773,12.318
244891.32,695531.15,0.016570374592577198,9.036294059753418,8.889
248432.35,697638.82,0.004099441448431251,23.967342842102052,24.066
242456.03,708998.03,0.031953741947532886,11.846828957557678,11.48
243314.21,704039.26,0.1015698995874591,20.98270344734192,19.048
244251.12,700505.05,0.04017855991337322,12.718593902587891,13.251
246082.77,698963.26,0.001551585776910814,17.53015740585327,17.503
243064.55,701270.9,0.13999457169597385,8.968337295532226,7.867
241090.84,708197.13,0.03426904625526582,16.060129750251768,15.528
247285.6,698724.64,0.030960228013696203,15.601540328979493,16.1
247189.66,698567.1,0.02452410809026433,16.605486743927003,16.208
241126.97,707417.69,0.004585748271669262,18.99947182273865,19.087
249224.89,698520.8,0.021868695192617194,17.848940050125123,18.248
249780.95,693712.58,0.08435864503178399,9.030970684051514,9.863
245982.49,698499.97,0.04992444997647132,10.045677137374877,9.568
249842.9,697905.6,0.05662169497396587,19.45663189125061,18.414
248894.48,699677.4,0.38390162827597324,8.851434814453125,6.396
242782.02,699733.66,0.004926451817378163,9.960686217308044,10.01
246501.63,695920.41,0.1910513785478342,8.525509521484375,10.539
244951.51,695517.54,0.19900852445543524,7.611306113243103,6.348
244518.15,700489.33,0.0033542802084599887,38.95924334621429,38.829
246708.67,697337.32,0.027684572695272556,18.726468283653258,18.222
249849.35,697509.52,0.10724964287240976,7.11740070438385,6.428
249967.96,695542.17,0.020712458362747797,21.84630874633789,21.403
248881.18,696590.68,0.06514911607110309,20.43490547180176,21.859
242700.35,705227.42,0.014038434718086643,20.057680238723755,19.78
243042.72,698735.49,0.02575468462712252,15.662248279571534,15.269
244379.63,697879.92,0.04290819635096302,8.092967603683473,7.76
247320.71,698456.47,0.09151655560789218,22.009828407287596,24.227
248241.6,699559.66,0.15513763526135838,10.747400558471679,9.304
241453.85,703349.48,0.13095424890155297,6.687332473754883,5.913
